이름,날짜,상대,결과,점수,타순,P,선발,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
황윤호,06-01,두산,L,3:5,9,SS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.233,0.433,3,0.77,-0.18,-0.019
황윤호,06-03,두산,W,12:11,8,PR,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.226,0.226,0.258,0.484,1,6.39,1.00,0.342
황윤호,06-06,@KT,W,5:2,9,2B,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.229,0.235,0.464,11,1.23,-0.65,-0.065
황윤호,06-08,@롯데,L,6:9,8,2B,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0.200,0.205,0.405,3,0.75,-0.44,-0.038
황윤호,06-14,SK,L,2:9,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.195,0.200,0.395,0,0.00,0.00,0.000
황윤호,06-16,@LG,L,3:4,9,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.195,0.200,0.395,0,0.00,0.00,0.000
황윤호,06-20,NC,W,6:5,8,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.214,0.220,0.434,0,0.00,0.00,0.000
황윤호,06-27,@SK,L,2:3,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.209,0.214,0.424,0,0.00,0.00,0.000
황윤호,09-05,@두산,L,1:14,5,PH,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.186,0.222,0.209,0.432,1,0.00,0.22,0.000
황윤호,09-07,넥센,W,7:5,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.222,0.209,0.432,0,0.00,0.00,0.000
황윤호,09-11,@NC,L,7:10,2,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.217,0.205,0.422,0,0.00,0.00,0.000
황윤호,09-14,@롯데,W,9:5,2,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.217,0.205,0.422,0,0.00,0.00,0.000
황윤호,09-16,SK,W,7:6,2,2B,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,0.208,0.196,0.404,2,3.59,-0.97,-0.194
황윤호,09-19,@삼성,L,8:9,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170,0.220,0.191,0.411,0,0.00,0.00,0.000
황윤호,09-22,@한화,W,11:5,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170,0.220,0.191,0.411,0,0.00,0.00,0.000
황윤호,09-26,@KT,L,2:9,9,SS,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.160,0.208,0.180,0.388,11,0.29,-0.80,-0.019
황윤호,09-28,@LG,W,6:2,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160,0.208,0.180,0.388,0,0.00,0.00,0.000
황윤호,09-30,한화,W,6:4,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160,0.208,0.180,0.388,0,3.60,0.27,0.081
황윤호,10-03,@삼성,L,5:20,6,SS,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.173,0.218,0.192,0.410,4,0.04,0.52,0.003
황윤호,10-06,@SK,L,5:7,9,SS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170,0.214,0.189,0.403,3,0.67,-0.18,-0.017
황윤호,10-09,@롯데,L,10:11,6,SS,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.203,0.179,0.382,7,1.45,-0.04,-0.012
황윤호,10-12,롯데,W,6:4,7,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.200,0.175,0.375,0,0.00,0.00,0.000
황윤호,10-16,@넥센,L,6:10,9,PR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.67,-0.12,-0.017
황윤호,03-27,삼성,W,17:0,9,PR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.00,-0.38,0.000
황윤호,03-29,삼성,W,7:0,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.02,-0.47,-0.001
황윤호,04-03,@SK,L,3:13,3,3B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.250,0.250,0.500,4,0.01,-0.18,0.000
황윤호,04-07,넥센,W,5:1,8,SS,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.375,0.375,0.375,0.750,9,0.32,-0.56,-0.016
황윤호,04-12,@한화,L,4:15,4,SS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,1,0.01,-0.32,0.000
황윤호,04-18,LG,W,4:3,3,PR,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.273,0.273,0.273,0.545,3,1.47,-0.25,-0.039
황윤호,04-26,한화,L,1:3,7,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0.00,0.00,0.000
황윤호,04-28,@KT,L,2:9,3,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0.308,0.308,0.615,0,0.00,0.00,0.000
황윤호,05-02,@롯데,W,12:6,7,PR,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,3,0.07,-0.11,0.001
황윤호,05-05,NC,W,12:4,7,PR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0.07,0.65,0.003
황윤호,05-08,두산,W,10:0,7,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313,0.313,0.313,0.625,2,0.01,-0.12,0.000
황윤호,05-10,두산,W,6:5,5,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294,0.294,0.294,0.588,0,0.00,0.00,0.000
황윤호,05-13,@삼성,W,8:7,2,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,0.278,0.278,0.556,0,0.00,0.00,0.000
황윤호,05-17,@넥센,L,2:8,4,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0.238,0.238,0.476,0,0.00,0.00,0.000
황윤호,05-20,SK,W,8:3,3,PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.240,0.240,0.280,0.520,5,0.02,-0.18,0.000
황윤호,05-24,KT,L,1:13,9,SS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.259,0.481,1,0.00,-0.18,0.000
황윤호,05-26,@NC,L,0:5,5,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0.222,0.259,0.481,0,0.16,0.15,0.001
황윤호,05-29,넥센,L,8:12,9,SS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.207,0.241,0.448,2,0.20,-0.47,-0.006
황윤호,05-31,넥센,W,5:0,6,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,0.207,0.241,0.448,0,0.00,0.00,0.000
황윤호,06-02,두산,L,0:10,9,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200,0.200,0.233,0.433,0,0.00,0.00,0.000
황윤호,06-05,@KT,W,11:2,3,2B,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.219,0.242,0.250,0.492,6,0.37,-0.07,0.007
황윤호,06-07,@KT,W,2:1,9,2B,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0.211,0.216,0.427,12,0.91,-0.16,-0.019
황윤호,06-09,@롯데,W,7:5,8,2B,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.195,0.200,0.395,3,0.05,-0.54,-0.002
황윤호,06-15,@LG,L,3:4,4,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0.195,0.200,0.395,0,0.00,0.00,0.000
황윤호,06-17,@LG,L,6:9,2,3B,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.195,0.214,0.220,0.434,5,1.42,1.00,0.056
황윤호,06-24,@넥센,W,14:10,8,PR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.209,0.214,0.424,2,0.06,-0.26,-0.002
황윤호,09-04,@두산,W,10:5,4,PR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.205,0.209,0.414,2,0.01,0.62,0.000
황윤호,09-06,넥센,W,7:2,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.222,0.209,0.432,0,0.00,0.00,0.000
황윤호,09-08,삼성,W,12:4,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.217,0.205,0.422,6,0.00,-0.39,0.000
황윤호,09-12,@NC,L,4:5,8,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.217,0.205,0.422,0,0.00,0.00,0.000
황윤호,09-15,SK,W,4:2,7,PR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182,0.217,0.205,0.422,0,0.00,0.00,0.000
황윤호,09-18,@삼성,W,18:3,7,PR,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.170,0.220,0.191,0.411,3,0.00,-0.40,0.000
황윤호,09-21,NC,W,6:4,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170,0.220,0.191,0.411,0,0.00,0.00,0.000
황윤호,09-25,@KT,W,9:7,3,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170,0.220,0.191,0.411,0,0.00,0.00,0.000
황윤호,09-27,@LG,L,1:9,3,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160,0.208,0.180,0.388,0,0.00,0.00,0.000
황윤호,09-29,한화,W,4:3,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160,0.208,0.180,0.388,0,0.00,0.00,0.000
황윤호,10-02,NC,L,5:6,6,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160,0.208,0.180,0.388,0,0.00,0.00,0.000
황윤호,10-06,@SK,W,8:4,7,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.218,0.192,0.410,0,0.00,0.00,0.000
황윤호,10-07,@두산,L,4:7,2,2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170,0.214,0.189,0.403,0,0.00,0.00,0.000
황윤호,10-10,한화,W,6:1,6,SS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.200,0.175,0.375,2,0.01,-0.26,0.000
황윤호,10-13,롯데,L,1:5,1,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0.200,0.175,0.375,0,0.00,0.00,0.000
강진성,03-31,@롯데,W,10:5,7,PH,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.08,0.52,0.003
강진성,04-04,삼성,W,4:1,4,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,0,0.00,0.00,0.000
강진성,04-07,@두산,L,3:6,6,PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0,0.00,0.00,0.000
강진성,04-10,KT,L,4:5,8,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,0.375,0.375,0.750,5,2.63,-0.18,-0.065
강진성,04-12,KT,L,2:7,7,LF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.267,0.267,0.267,0.533,18,1.09,-1.61,-0.164
강진성,04-14,@SK,L,0:7,8,LF,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.263,0.300,0.316,0.616,13,0.32,0.04,-0.020
강진성,04-19,@넥센,L,3:6,2,LF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.280,0.292,0.572,6,0.35,-0.38,-0.007
강진성,04-21,LG,L,3:6,2,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.296,0.308,0.604,2,0.56,-0.34,-0.016
강진성,04-24,@삼성,L,2:7,3,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.250,0.300,0.286,0.586,5,0.16,-0.26,-0.004
강진성,04-27,두산,L,2:6,9,PH,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.233,0.281,0.267,0.548,3,0.53,-0.38,-0.015
강진성,05-01,넥센,L,4:13,3,RF,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0.265,0.250,0.515,4,0.01,-0.23,0.000
강진성,05-17,롯데,L,0:7,3,RF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.212,0.278,0.242,0.520,6,0.01,0.12,0.001
강진성,05-19,@KT,L,2:3,5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.270,0.235,0.506,0,0.00,0.00,0.000
강진성,06-01,삼성,L,3:5,6,LF,1,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0.216,0.268,0.270,0.539,17,1.26,-0.36,-0.087
