,이름,year,안타,2타,3타,홈런,사구,볼넷,고4,병살,삼진,희타,타수,도루,투구,gap,num_game,on_base,slg
t8,배정대,2021,1,0,0,0,0,2,0,0,7,0,16,1,65,3,5,0.16666666666666666,0.0625
t9,배정대,2021,5,1,0,0,0,1,0,0,5,0,17,0,92,5,5,0.3888888888888889,0.4117647058823529
t10,배정대,2021,5,3,0,1,0,1,0,0,2,0,20,0,84,5,5,0.47619047619047616,0.75
t11,배정대,2021,3,1,0,0,0,5,0,2,5,0,17,0,105,4,5,0.4090909090909091,0.29411764705882354
t12,배정대,2021,3,0,0,0,0,4,0,0,8,0,17,1,102,5,5,0.3333333333333333,0.17647058823529413
t13,배정대,2021,7,2,0,1,1,2,0,0,3,0,19,0,85,4,5,0.5909090909090909,0.7894736842105263
t14,배정대,2021,7,2,0,0,0,3,0,0,0,0,17,1,85,4,5,0.6,0.6470588235294118
t15,배정대,2021,5,1,0,0,0,5,1,1,4,0,18,0,84,4,5,0.5,0.3888888888888889
t16,배정대,2021,7,0,0,1,1,2,0,0,5,0,20,2,81,5,5,0.4782608695652174,0.55
t17,배정대,2021,2,1,0,0,1,6,0,0,5,0,17,0,94,5,5,0.4166666666666667,0.23529411764705882
t18,배정대,2021,11,1,0,0,0,3,0,1,2,1,21,0,109,5,5,0.6,0.6190476190476191
t19,배정대,2021,4,1,0,0,0,1,0,0,4,0,17,2,88,5,5,0.3333333333333333,0.35294117647058826
t1,구자욱,2021,6,1,0,1,0,0,0,0,4,0,20,2,68,5,5,0.4,0.6
t2,구자욱,2021,8,3,0,1,1,1,0,1,2,0,20,0,80,5,5,0.6363636363636364,0.9
t3,구자욱,2021,6,0,1,0,3,0,0,0,3,0,19,5,88,5,5,0.45454545454545453,0.47368421052631576
t4,구자욱,2021,7,2,0,1,0,4,0,0,4,0,19,1,103,34,5,0.6086956521739131,0.7894736842105263
t5,구자욱,2021,1,0,0,1,0,3,1,1,6,1,18,2,84,8,5,0.2608695652173913,0.2777777777777778
t6,구자욱,2021,6,1,0,0,0,1,0,0,4,0,21,1,83,4,5,0.36363636363636365,0.38095238095238093
t7,구자욱,2021,7,2,1,1,0,1,0,0,0,0,20,1,84,4,5,0.5714285714285714,0.9
t8,구자욱,2021,7,0,0,2,1,2,0,0,6,0,19,2,94,7,5,0.5454545454545454,0.7894736842105263
t9,구자욱,2021,6,0,0,2,0,0,0,0,5,0,21,0,61,4,5,0.38095238095238093,0.6666666666666666
t10,구자욱,2021,3,0,0,0,0,1,0,0,4,0,22,0,89,8,5,0.17391304347826086,0.13636363636363635
t11,구자욱,2021,7,1,1,0,0,0,0,0,1,0,23,1,74,6,5,0.391304347826087,0.5217391304347826
t12,구자욱,2021,3,0,0,0,0,3,0,0,2,0,17,0,81,6,5,0.3,0.17647058823529413
t13,구자욱,2021,2,1,0,0,0,1,0,0,4,0,19,1,86,5,5,0.2,0.21052631578947367
t14,구자욱,2021,9,1,2,1,0,3,0,0,2,0,20,0,99,6,5,0.6956521739130435,1.05
t15,구자욱,2021,5,1,0,1,0,2,0,1,5,0,20,1,98,4,5,0.4090909090909091,0.55
t16,구자욱,2021,4,1,0,0,0,4,1,0,6,0,19,2,120,4,5,0.4166666666666667,0.3157894736842105
t17,구자욱,2021,8,3,1,1,0,5,0,0,2,0,16,1,97,5,5,0.8571428571428571,1.3125
t18,구자욱,2021,9,2,0,2,1,1,0,2,4,0,18,2,86,5,5,0.75,1.1666666666666667
t19,구자욱,2021,5,0,0,0,0,3,0,2,3,0,19,2,111,5,5,0.36363636363636365,0.2631578947368421
t1,이용규,2021,3,0,0,0,0,0,0,1,2,1,19,0,82,5,5,0.15,0.15789473684210525
t2,이용규,2021,8,0,0,0,0,4,1,1,0,0,19,1,89,7,5,0.5416666666666666,0.42105263157894735
t3,이용규,2021,1,0,0,0,0,2,0,1,3,1,13,1,61,5,5,0.1875,0.07692307692307693
t5,이용규,2021,4,0,0,0,0,3,0,0,2,0,17,0,99,5,5,0.35,0.23529411764705882
t6,이용규,2021,5,1,0,0,0,5,0,0,2,0,16,0,91,5,5,0.5238095238095238,0.4375
t7,이용규,2021,7,0,0,0,1,2,0,0,4,0,17,2,94,5,5,0.5,0.4117647058823529
t8,이용규,2021,6,2,1,0,0,3,0,0,1,0,16,2,93,5,5,0.631578947368421,0.8125
t9,이용규,2021,3,1,1,0,0,5,0,0,1,1,11,0,69,4,5,0.5882352941176471,0.7272727272727273
t10,이용규,2021,3,0,0,0,0,3,0,0,0,0,15,0,74,4,5,0.3333333333333333,0.2
t11,이용규,2021,5,1,0,0,0,3,0,0,2,0,17,1,87,10,5,0.45,0.4117647058823529
t12,이용규,2021,7,1,0,0,0,4,0,0,1,1,19,1,101,6,5,0.5,0.47368421052631576
t13,이용규,2021,2,0,1,0,0,2,0,1,3,1,19,0,98,5,5,0.22727272727272727,0.2631578947368421
t14,이용규,2021,5,0,0,0,1,4,0,0,3,0,15,1,97,6,5,0.5,0.3333333333333333
t15,이용규,2021,4,0,2,0,0,4,0,0,2,0,14,0,87,5,5,0.5555555555555556,0.7142857142857143
t16,이용규,2021,5,1,0,0,0,2,0,0,2,0,18,0,94,5,5,0.4,0.3888888888888889
